004214,SNES00_Div_Quotient_Lo,
004215,SNES00_Div_Quotient_Hi,
004216,SNES00_ProductRemainder_Lo,
004217,SNES00_ProductRemainder_Hi,
004218,SNES00_Pad1_Lo,
004219,SNES00_Pad1_Hi,
00421A,SNES00_Pad2_Lo,
00421B,SNES00_Pad2_Hi,
00421C,SNES00_Pad3_Lo,
00421D,SNES00_Pad3_Hi,
00421E,SNES00_Pad4_Lo,
00421F,SNES00_Pad4_Hi,
004300,SNES00_DMA0_Control,
004301,SNES00_DMA0_Destination,
004302,SNES00_DMA0_Src_Addr_Lo,
004303,SNES00_DMA0_Src_Addr_Mid,
004304,SNES00_DMA0_Src_Addr_Hi,
004305,SNES00_DMA0_Size_HDMA_Indirect_Addr_Lo,
004306,SNES00_DMA0_Size_HDMA_Indirect_Addr_Mid,
004307,SNES00_HDMA0_Indirect_Addr_Hi,
004308,SNES00_HDMA0_Midframe_Addr_Lo,
004309,SNES00_HDMA0_Midframe_Addr_Hi,
00430A,SNES00_HDMA0_Line_Counter,
004310,SNES00_DMA1_Control,
004311,SNES00_DMA1_Destination,
004312,SNES00_DMA1_Src_Addr_Lo,
004313,SNES00_DMA1_Src_Addr_Mid,
004314,SNES00_DMA1_Src_Addr_Hi,
004315,SNES00_DMA1_Size_HDMA_Indirect_Addr_Lo,
004316,SNES00_DMA1_Size_HDMA_Indirect_Addr_Mid,
004317,SNES00_HDMA1_Indirect_Addr_Hi,
004318,SNES00_HDMA1_Midframe_Addr_Lo,
004319,SNES00_HDMA1_Midframe_Addr_Hi,
00431A,SNES00_HDMA1_Line_Counter,
004320,SNES00_DMA2_Control,
004321,SNES00_DMA2_Destination,
004322,SNES00_DMA2_Src_Addr_Lo,
004323,SNES00_DMA2_Src_Addr_Mid,
004324,SNES00_DMA2_Src_Addr_Hi,
004325,SNES00_DMA2_Size_HDMA_Indirect_Addr_Lo,
004326,SNES00_DMA2_Size_HDMA_Indirect_Addr_Mid,
004327,SNES00_HDMA2_Indirect_Addr_Hi,
004328,SNES00_HDMA2_Midframe_Addr_Lo,
004329,SNES00_HDMA2_Midframe_Addr_Hi,
00432A,SNES00_HDMA2_Line_Counter,
004330,SNES00_DMA3_Control,
004331,SNES00_DMA3_Destination,
004332,SNES00_DMA3_Src_Addr_Lo,
004333,SNES00_DMA3_Src_Addr_Mid,
004334,SNES00_DMA3_Src_Addr_Hi,
004335,SNES00_DMA3_Size_HDMA_Indirect_Addr_Lo,
004336,SNES00_DMA3_Size_HDMA_Indirect_Addr_Mid,
004337,SNES00_HDMA3_Indirect_Addr_Hi,
004338,SNES00_HDMA3_Midframe_Addr_Lo,
004339,SNES00_HDMA3_Midframe_Addr_Hi,
00433A,SNES00_HDMA3_Line_Counter,
004340,SNES00_DMA4_Control,
004341,SNES00_DMA4_Destination,
004342,SNES00_DMA4_Src_Addr_Lo,
004343,SNES00_DMA4_Src_Addr_Mid,
004344,SNES00_DMA4_Src_Addr_Hi,
004345,SNES00_DMA4_Size_HDMA_Indirect_Addr_Lo,
004346,SNES00_DMA4_Size_HDMA_Indirect_Addr_Mid,
004347,SNES00_HDMA4_Indirect_Addr_Hi,
004348,SNES00_HDMA4_Midframe_Addr_Lo,
004349,SNES00_HDMA4_Midframe_Addr_Hi,
00434A,SNES00_HDMA4_Line_Counter,
004350,SNES00_DMA5_Control,
004351,SNES00_DMA5_Destination,
004352,SNES00_DMA5_Src_Addr_Lo,
004353,SNES00_DMA5_Src_Addr_Mid,
004354,SNES00_DMA5_Src_Addr_Hi,
004355,SNES00_DMA5_Size_HDMA_Indirect_Addr_Lo,
004356,SNES00_DMA5_Size_HDMA_Indirect_Addr_Mid,
004357,SNES00_HDMA5_Indirect_Addr_Hi,
